activity_name,average_heart_rate,calories,distance,active_duration,start_time,pace,date
Walk,96.0,294,,2356000,16:06:15,,2024-11-12
Walk,104.0,350,,2766000,17:56:21,,2024-11-12
Walk,97.0,270,,2099000,15:46:17,,2024-11-14
Walk,127.0,300,,2305000,17:29:33,,2024-11-14
Walk,122.0,271,,1946000,16:57:24,,2024-11-17
Elliptical,134.0,244,,1199000,18:32:18,,2024-11-17
Walk,102.0,298,,2202000,14:32:59,,2024-11-18
Elliptical,130.0,247,,1221000,16:09:58,,2024-11-18
Walk,114.0,331,,2150000,13:53:53,,2024-11-23
Walk,100.0,447,,3482000,15:28:37,,2024-11-23
Walk,102.0,284,,2100000,11:31:10,,2024-11-24
Walk,117.0,254,,1895000,13:33:13,,2024-11-24
Walk,121.0,357,,2151000,17:31:49,,2024-11-28
Elliptical,138.0,183,,978000,19:02:38,,2024-11-28
Walk,117.0,304,,2509000,15:34:43,,2024-11-29
Elliptical,147.0,230,,1111000,17:29:27,,2024-11-29
Walk,125.0,350,,2305000,17:43:35,,2024-11-29
Walk,102.0,292,,2201000,16:21:56,,2024-12-02
Elliptical,129.0,202,,1054000,17:43:38,,2024-12-02
Walk,115.0,299,,2100000,18:22:58,,2024-12-04
Elliptical,130.0,162,,908000,19:56:48,,2024-12-04
Walk,118.0,323,,2098000,19:00:53,,2024-12-11
Walk,126.0,313,,1996000,20:47:33,,2024-12-11
Walk,106.0,285,,2049000,19:22:36,,2024-12-12
Walk,101.0,125,,922000,21:09:16,,2024-12-12
Walk,98.0,281,,2150000,13:51:52,,2024-12-15
Walk,115.0,317,,2150000,16:04:59,,2024-12-15
Walk,119.0,305,,2304000,16:38:15,,2024-12-17
Elliptical,109.0,680,,4799000,18:27:52,,2024-12-17
Run,154.0,221,2.85,1066000,19:16:52,369.242706071029,2024-12-18
Walk,115.0,161,,1177000,20:09:42,,2024-12-18
Walk,112.0,305,,2201000,16:54:41,,2024-12-19
Walk,116.0,344,,2611000,18:33:40,,2024-12-19
Walk,,288,,2253000,14:50:47,,2024-12-23
Walk,,288,,1843000,16:42:36,,2024-12-23
Walk,,333,,1997000,17:24:06,,2025-01-01
Walk,114.0,305,,2304000,09:52:36,,2025-01-06
Elliptical,157.0,259,,1157000,11:32:28,,2025-01-06
Walk,115.0,302,,2458000,16:19:02,,2025-01-07
Elliptical,132.0,214,,1178000,17:48:09,,2025-01-07
Walk,,141,,1229000,16:59:03,,2025-01-10
Walk,,176,,1332000,10:10:54,,2025-01-11
Walk,,201,,1587000,11:31:08,,2025-01-11
Outdoor Bike,,168,,1383000,15:09:37,,2025-01-11
Outdoor Bike,,126,,1024000,16:03:23,,2025-01-11
Walk,,147,,1229000,12:34:06,,2025-01-12
Walk,,312,,2355000,17:34:23,,2025-01-20
Elliptical,157.0,254,,1190000,19:00:24,,2025-01-20
Walk,104.0,317,,2202000,16:42:49,,2025-01-22
Walk,128.0,311,,2458000,18:15:51,,2025-01-22
Walk,126.0,362,,2151000,13:47:22,,2025-01-24
Walk,131.0,335,,2202000,15:22:06,,2025-01-24
Run,144.0,360,3.69,1744000,08:08:41,467.7998653465984,2025-01-25
Run,142.0,489,5.38,2294000,09:03:00,422.63589199386865,2025-01-25
Walk,110.0,281,,2099000,17:53:54,,2025-01-27
Elliptical,147.0,239,,1199000,19:18:04,,2025-01-27
Walk,105.0,283,,2100000,16:27:30,,2025-01-28
Walk,118.0,326,,2560000,17:54:34,,2025-01-28
Run,176.0,618,5.23,2330000,08:24:00,441.1867734856217,2025-02-01
Run,188.0,633,4.9,2127000,09:03:40,430.3228939062879,2025-02-01
Elliptical,136.0,189,,1082000,18:03:02,,2025-02-02
Walk,,122,,922000,18:12:19,,2025-02-07
Run,154.0,228,2.41,1072000,19:34:48,441.0814725208711,2025-02-07
Run,138.0,233,2.35,1117000,08:10:13,469.56053841820733,2025-02-08
Walk,,314,,2355000,09:14:27,,2025-02-08
Run,157.0,196,2.1,1067000,18:51:11,503.5560400768312,2025-02-10
Run,151.0,222,2.28,1040000,18:11:50,451.03847271434086,2025-02-12
Run,168.0,241,2.43,986000,19:07:12,401.9813686120227,2025-02-14
Run,173.0,265,2.39,1024000,20:29:04,424.938583095412,2025-02-14
Run,99.0,60,0.0,927000,21:14:47,,2025-02-14
Run,157.0,482,4.7,2061000,08:07:16,434.4059640714019,2025-02-15
Run,151.0,445,5.0,1991000,09:03:23,394.67476499902864,2025-02-15
Walk,96.0,143,,1024000,09:38:15,,2025-02-15
Run,160.0,226,2.3,1037000,19:24:08,446.38245118633563,2025-02-20
Walk,127.0,148,,971000,18:06:16,,2025-02-23
Run,181.0,264,2.32,932000,19:17:04,396.7139147831269,2025-02-25
Run,179.0,318,2.94,1197000,19:34:47,402.9041411275257,2025-02-27
Run,170.0,414,4.01,1713000,07:53:01,423.15207537195636,2025-03-01
Run,138.0,198,2.12,1031000,17:51:13,480.83425442707966,2025-03-03
Walk,124.0,156,,1024000,19:26:12,,2025-03-03
Run,159.0,210,1.93,914000,18:21:43,469.50768472096655,2025-03-05
Walk,121.0,405,,2663000,19:47:11,,2025-03-05
Run,175.0,230,2.26,920000,17:33:04,402.990893281879,2025-03-07
Walk,113.0,312,,2561000,18:56:01,,2025-03-07
Run,140.0,235,2.34,1078000,07:59:57,456.73127846626414,2025-03-08
Walk,104.0,233,,1485000,08:36:04,,2025-03-08
Run,157.0,432,5.04,1983000,09:01:38,389.7420980428382,2025-03-08
Walk,104.0,275,,2151000,18:20:39,,2025-03-12
Walk,119.0,134,,922000,19:51:58,,2025-03-12
Run,153.0,529,5.46,2499000,08:14:40,452.85932004051995,2025-03-15
Run,154.0,432,5.04,1962000,09:01:38,384.89078086531765,2025-03-15
Run,148.0,256,2.8,1287000,18:29:29,454.6530400285439,2025-03-17
Run,169.0,244,2.38,1050000,19:43:26,438.32551304957667,2025-03-17
Walk,125.0,147,,920000,20:03:15,,2025-03-17
Walk,110.0,197,,1588000,11:39:27,,2025-03-22
Run,149.0,198,2.4,936000,18:59:22,385.6533651964319,2025-03-24
Run,157.0,203,2.08,981000,20:00:27,467.6728864141265,2025-03-24
Run,167.0,246,2.65,989000,18:38:50,370.34540606932086,2025-03-26
Run,176.0,277,2.08,981000,19:58:35,466.5407973519886,2025-03-26
Walk,130.0,132,,1076000,20:17:08,,2025-03-26
Run,173.0,270,2.77,1060000,18:24:03,379.770418034079,2025-03-28
Run,175.0,275,2.3,1024000,19:44:59,440.2085832075902,2025-03-28
Walk,127.0,192,,1332000,20:03:47,,2025-03-28
Run,154.0,431,4.35,2019000,07:59:31,460.02100739815853,2025-03-29
Walk,116.0,145,,973000,08:34:44,,2025-03-29
Run,156.0,417,5.05,1943000,09:02:11,380.2489720752826,2025-03-29
Walk,93.0,230,,1894000,15:08:50,,2025-03-31
Run,172.0,293,2.96,1152000,17:28:20,385.5060436103712,2025-04-02
Run,172.0,357,2.87,1402000,18:45:37,483.8971321674243,2025-04-02
Walk,108.0,271,,1997000,16:07:27,,2025-04-08
Walk,103.0,357,,2561000,17:35:21,,2025-04-08
Run,152.0,225,2.32,1102000,15:33:27,469.3116195083726,2025-04-14
Walk,109.0,347,,2509000,16:49:17,,2025-04-14
Run,163.0,226,2.35,935000,17:11:13,395.4775973572791,2025-04-16
Run,171.0,321,2.69,1214000,18:26:16,447.90602090474067,2025-04-16
Run,163.0,253,2.26,950000,17:32:31,416.6045414280327,2025-04-22
Walk,132.0,385,,2202000,18:43:05,,2025-04-22
Walk,101.0,277,,2002000,17:01:51,,2025-04-24
Walk,121.0,355,,2151000,18:17:53,,2025-04-24
Walk,95.0,146,,1075000,12:08:56,,2025-04-25
Walk,94.0,326,,2560000,14:07:34,,2025-04-25
Walk,108.0,182,,1331000,16:37:47,,2025-04-25
Run,180.0,251,2.07,903000,11:23:14,430.71169980873157,2025-04-27
Walk,107.0,329,,2612000,12:33:53,,2025-04-27
Walk,126.0,377,,2159000,12:47:24,,2025-04-30
Weights,125.0,612,,3951000,12:32:55,,2022-12-05
Walk,112.0,212,,1588000,10:02:10,,2022-12-06
Walk,97.0,221,,1945000,21:36:29,,2022-12-06
Run,169.0,525,5.26,2133000,09:31:01,401.7304733187307,2022-12-07
Walk,114.0,247,,1792000,11:36:16,,2022-12-07
Walk,98.0,292,,2560000,20:07:25,,2022-12-07
Walk,104.0,226,,1946000,10:21:28,,2022-12-08
Walk,96.0,192,,1639000,17:55:26,,2022-12-08
Walk,102.0,242,,1843000,20:52:56,,2022-12-08
Walk,101.0,219,,1896000,08:03:39,,2022-12-09
Walk,101.0,208,,1792000,15:15:28,,2022-12-09
Walk,118.0,483,,3534000,08:34:00,,2022-12-10
Weights,123.0,532,,3677000,10:34:22,,2022-12-10
Walk,106.0,326,,2969000,13:39:09,,2022-12-12
Walk,97.0,136,,1229000,20:18:31,,2022-12-12
Run,168.0,567,5.08,2348000,21:26:17,457.74977385445584,2022-12-12
Walk,109.0,229,,1895000,10:42:03,,2022-12-13
Walk,99.0,123,,1230000,13:06:17,,2022-12-13
Walk,100.0,249,,2202000,16:23:27,,2022-12-13
Walk,108.0,194,,1588000,10:21:36,,2022-12-14
Walk,103.0,111,,973000,14:31:41,,2022-12-14
Walk,107.0,157,,1229000,17:14:43,,2022-12-14
Walk,104.0,179,,1536000,09:48:06,,2022-12-15
Walk,91.0,134,,1332000,16:40:16,,2022-12-15
Walk,99.0,144,,1331000,17:30:37,,2022-12-15
Walk,101.0,192,,1638000,10:28:41,,2022-12-16
Walk,104.0,163,,1332000,12:23:52,,2022-12-16
Walk,101.0,138,,1178000,14:40:24,,2022-12-16
Walk,101.0,135,,1178000,21:06:07,,2022-12-16
Weights,116.0,430,,4119000,18:52:19,,2022-12-17
Walk,114.0,224,,1638000,12:15:54,,2022-12-19
Walk,101.0,136,,1229000,17:41:02,,2022-12-19
Walk,107.0,202,,1638000,19:22:36,,2022-12-19
Run,181.0,281,2.49,1074000,21:41:55,428.4192764740376,2022-12-19
Walk,106.0,200,,1587000,13:35:44,,2022-12-20
Walk,101.0,184,,1637000,17:35:32,,2022-12-20
Walk,105.0,197,,1637000,19:36:42,,2022-12-20
Walk,103.0,189,,1586000,09:48:21,,2022-12-21
Walk,102.0,123,,1023000,15:22:51,,2022-12-21
Walk,107.0,205,,1587000,19:33:43,,2022-12-21
Weights,133.0,510,,3049000,10:09:25,,2022-12-23
Walk,102.0,106,,973000,14:15:28,,2022-12-23
Walk,105.0,206,,1742000,12:59:01,,2023-01-04
Outdoor Bike,102.0,121,,973000,19:44:22,,2023-01-04
Walk,111.0,235,,1793000,11:58:53,,2023-01-05
Walk,99.0,146,,1280000,18:43:22,,2023-01-05
Walk,103.0,230,,2099000,13:44:18,,2023-01-06
Walk,101.0,109,,973000,17:47:30,,2023-01-06
Walk,102.0,190,,1638000,20:35:37,,2023-01-06
Walk,95.0,127,,1331000,13:01:14,,2023-01-07
Walk,104.0,224,,1793000,23:01:13,,2023-01-07
Walk,115.0,201,,1485000,11:16:48,,2023-01-08
Weights,127.0,585,,6082000,12:23:55,,2023-01-10
Walk,109.0,222,,1792000,21:16:44,,2023-01-10
Run,172.0,292,2.71,1226000,07:41:14,448.2943970513491,2023-01-12
Walk,110.0,209,,1639000,09:45:47,,2023-01-12
Walk,102.0,215,,1895000,19:05:34,,2023-01-12
Walk,106.0,211,,1791000,09:01:52,,2023-01-13
Walk,100.0,118,,1075000,12:34:20,,2023-01-13
Walk,103.0,114,,1025000,17:33:51,,2023-01-13
Walk,105.0,190,,1638000,20:04:03,,2023-01-13
Walk,102.0,170,,1537000,12:43:18,,2023-01-14
Walk,101.0,219,,1997000,19:38:53,,2023-01-14
Walk,107.0,233,,1997000,09:39:40,,2023-01-15
Walk,99.0,110,,1075000,13:13:01,,2023-01-15
Walk,107.0,206,,1691000,18:03:11,,2023-01-15
Walk,98.0,130,,1075000,14:09:08,,2023-01-21
Run,168.0,358,3.19,1484000,14:26:29,457.71813322558654,2023-01-21
Run,159.0,270,2.67,1198000,07:30:26,443.28012491767123,2023-01-24
Walk,114.0,216,,1639000,09:43:15,,2023-01-24
Walk,96.0,181,,1742000,17:49:42,,2023-01-24
Walk,103.0,192,,1639000,20:29:19,,2023-01-24
Walk,108.0,205,,1741000,09:31:03,,2023-01-25
Walk,92.0,170,,2099000,13:29:09,,2023-01-25
Walk,86.0,107,,1024000,16:10:26,,2023-01-25
Walk,99.0,195,,1689000,08:22:41,,2023-01-26
Walk,100.0,151,,1280000,09:39:29,,2023-01-26
Run,169.0,252,2.59,996000,09:03:41,379.6353823225605,2023-01-28
Walk,100.0,213,,1791000,09:26:44,,2023-01-28
Walk,103.0,111,,1127000,15:26:01,,2023-01-30
Walk,104.0,157,,1280000,08:20:57,,2023-01-31
Walk,101.0,103,,972000,08:22:40,,2023-02-03
Walk,108.0,186,,1485000,09:38:35,,2023-02-03
Walk,100.0,144,,1281000,20:22:01,,2023-02-03
Run,150.0,188,1.97,917000,08:44:35,460.0088289589855,2023-02-04
Run,196.0,563,5.09,2010000,09:01:26,391.2911439717803,2023-02-04
Walk,97.0,184,,1741000,09:49:18,,2023-02-04
Walk,104.0,208,,1792000,09:48:36,,2023-02-07
Walk,94.0,140,,1382000,12:11:05,,2023-02-07
Walk,100.0,149,,1332000,15:21:22,,2023-02-07
Weights,123.0,403,,2845000,15:28:36,,2023-02-13
Walk,116.0,216,,1587000,11:13:10,,2023-02-14
Walk,92.0,187,,1946000,15:05:18,,2023-02-14
Walk,104.0,202,,1639000,17:16:43,,2023-02-14
Run,155.0,307,2.75,1416000,10:19:13,509.74858163177146,2023-02-15
Walk,107.0,289,,2202000,16:38:52,,2024-03-26
Walk,116.0,368,,2661000,18:26:24,,2024-03-26
Walk,118.0,325,,2253000,19:33:48,,2024-03-27
Walk,103.0,282,,2299000,21:27:19,,2024-03-27
Walk,118.0,319,,2302000,17:26:30,,2024-03-28
Walk,125.0,328,,2098000,19:08:04,,2024-03-28
Walk,110.0,279,,2099000,17:10:44,,2024-03-29
Walk,127.0,313,,2048000,11:14:42,,2024-03-30
Walk,129.0,358,,2251000,12:53:43,,2024-03-30
Walk,117.0,331,,2253000,15:53:55,,2024-04-05
Walk,100.0,270,,2202000,17:50:49,,2024-04-05
Walk,125.0,320,,2048000,09:37:11,,2024-04-06
Walk,120.0,327,,2205000,11:43:25,,2024-04-06
Walk,115.0,309,,2252000,16:16:05,,2024-04-08
Walk,105.0,286,,2303000,18:18:07,,2024-04-08
Walk,123.0,318,,2048000,16:43:32,,2024-04-10
Walk,108.0,282,,2100000,18:16:35,,2024-04-10
Walk,117.0,324,,2202000,17:43:09,,2024-04-12
Walk,107.0,329,,2508000,20:09:56,,2024-04-12
Walk,112.0,330,,2561000,11:58:50,,2024-04-13
Walk,124.0,334,,2202000,13:49:47,,2024-04-13
Walk,110.0,283,,2151000,07:39:44,,2024-04-15
Walk,128.0,192,,1231000,10:01:22,,2024-04-15
Walk,116.0,289,,2100000,18:01:31,,2024-04-18
Walk,114.0,299,,2151000,20:07:51,,2024-04-18
Walk,118.0,145,,921000,08:28:54,,2024-04-20
Run,173.0,333,,1331000,08:44:15,,2024-04-20
Walk,126.0,186,,1230000,09:41:25,,2024-04-20
Spinning,61.0,1020,,38782000,20:04:26,,2024-04-21
Walk,110.0,326,,2305000,14:31:25,,2024-04-22
Walk,112.0,302,,2203000,16:05:20,,2024-04-22
Walk,117.0,309,,2049000,07:05:56,,2024-04-23
Walk,111.0,279,,2100000,09:03:44,,2024-04-23
Walk,119.0,386,,2559000,23:23:20,,2024-04-23
Run,158.0,341,3.55,1474000,10:33:25,409.85087990034566,2024-04-24
Walk,98.0,133,,1076000,11:34:08,,2024-04-24
Walk,108.0,257,,1946000,17:01:03,,2024-04-25
Walk,125.0,340,,2149000,18:46:02,,2024-04-25
Walk,121.0,307,,1997000,11:51:30,,2024-04-26
Walk,128.0,375,,2253000,13:05:45,,2024-04-26
Walk,108.0,285,,2099000,06:59:43,,2024-04-28
Walk,124.0,162,,922000,09:00:54,,2024-04-28
Walk,96.0,286,,2407000,16:23:32,,2024-04-29
Walk,114.0,323,,2254000,16:51:49,,2024-04-30
Walk,103.0,295,,2408000,15:10:25,,2024-05-01
Walk,111.0,310,,2202000,13:00:28,,2024-05-03
Walk,115.0,311,,2152000,10:30:42,,2024-05-04
Walk,120.0,325,,2150000,12:25:04,,2024-05-04
Walk,95.0,274,,2203000,17:28:43,,2024-05-06
Walk,112.0,300,,2101000,19:09:26,,2024-05-06
Walk,112.0,315,,2202000,11:52:37,,2024-05-08
Walk,127.0,374,,2151000,13:43:36,,2024-05-08
Walk,107.0,283,,2099000,13:02:13,,2024-05-10
Walk,135.0,374,,1996000,14:37:48,,2024-05-10
Walk,114.0,322,,2150000,12:14:28,,2024-05-11
Walk,120.0,494,,3585000,14:07:57,,2024-05-11
Walk,98.0,266,,2254000,15:04:20,,2024-05-13
Walk,114.0,284,,2101000,16:40:47,,2024-05-13
Walk,102.0,262,,1945000,10:40:45,,2024-05-15
Walk,101.0,268,,2151000,12:32:34,,2024-05-15
Walk,106.0,301,,2253000,13:00:12,,2024-05-17
Walk,109.0,372,,2765000,14:55:25,,2024-05-17
Outdoor Bike,89.0,146,,2510000,20:46:20,,2024-05-19
Walk,106.0,308,,2304000,14:54:43,,2024-05-20
Walk,119.0,322,,2100000,16:34:35,,2024-05-20
Outdoor Bike,91.0,94,,1280000,19:04:50,,2024-05-21
Walk,104.0,296,,2150000,14:33:15,,2024-05-22
Walk,97.0,272,,2201000,16:16:30,,2024-05-22
Walk,103.0,306,,2304000,15:10:04,,2024-05-24
Walk,128.0,401,,2201000,16:41:23,,2024-05-24
Walk,132.0,165,,921000,07:52:01,,2024-05-25
Run,153.0,250,2.21,1141000,08:06:52,510.51682557863796,2024-05-25
Walk,107.0,308,,2252000,14:25:18,,2024-05-28
Walk,113.0,370,,2613000,16:18:48,,2024-05-28
