date,value
2023-10-17,2015
2023-10-18,3133
2023-10-19,2657
2023-10-20,3078
2023-10-21,2969
2023-10-22,2731
2023-10-23,2341
2023-10-24,2997
2023-10-25,2893
2023-10-26,2720
2023-10-27,1992
2023-10-28,2979
2023-10-29,2818
2023-10-30,2108
2023-10-31,3035
2023-11-01,2915
2023-11-02,2812
2023-11-03,2990
2023-11-04,2245
2023-11-05,2075
2023-11-06,2100
2023-11-07,2800
2023-11-08,2979
2023-11-09,2901
2023-11-10,3012
2023-11-11,2306
2023-11-12,2884
2023-11-13,2113
2023-11-14,2835
2023-11-15,2894
2023-11-16,2927
2023-11-17,2817
2023-11-18,2915
2023-11-19,2226
2023-11-20,3029
2023-11-21,3041
2023-11-22,2969
2023-11-23,2643
2023-11-24,2171
2023-11-25,2986
2023-11-26,2769
2023-11-27,2907
2023-11-28,2095
2023-11-29,3106
2023-11-30,2941
2023-12-01,2944
2023-12-02,2660
2023-12-03,2974
2023-12-04,2099
2023-12-05,3011
2023-12-06,2956
2023-12-07,2757
2023-12-08,2151
2023-12-09,2902
2023-12-10,3048
2023-12-11,2702
2023-12-12,2783
2023-12-13,2025
2023-12-14,2981
2023-12-15,3254
2023-12-16,2732
2023-12-17,3165
2023-12-18,2327
2023-12-19,2896
2023-12-20,2947
2023-12-21,2707
2023-12-22,2096
2023-12-23,2971
2023-12-24,2989
2023-12-25,2279
2023-12-26,2258
2023-12-27,3041
2023-12-28,2852
2023-12-29,2002
2023-12-30,2896
2023-12-31,2895
2024-01-01,2871
2024-01-02,2656
2024-01-03,2859
2024-01-04,2943
2024-01-05,2831
2024-01-06,2066
2024-01-07,3173
2024-01-08,2785
2024-01-09,1953
2024-01-10,3026
2024-01-11,2917
2024-01-12,2065
2024-01-13,2869
2024-01-14,3066
2024-01-15,2908
2024-01-16,2237
2024-01-17,3138
2024-01-18,2175
2024-01-19,2049
2024-01-20,3026
2024-01-21,3149
2024-01-22,1915
2024-01-23,2607
2024-01-24,1865
2024-01-25,2305
2024-01-26,1887
2024-01-27,2567
2024-01-28,2561
2024-01-29,2624
2024-01-30,2544
2024-01-31,1895
2024-02-01,2453
2024-02-02,2526
2024-02-03,1912
2024-02-04,1970
2024-02-05,2584
2024-02-06,2524
2024-02-07,1887
2024-02-08,2543
2024-02-09,2571
2024-02-10,1910
2024-02-11,2519
2024-02-12,2565
2024-02-13,2536
2024-02-14,1928
2024-02-15,2573
2024-02-16,1901
2024-02-17,2541
2024-02-18,2565
2024-02-19,1964
2024-02-20,2594
2024-02-21,2604
2024-02-22,2448
2024-02-23,1954
2024-02-24,2602
2024-02-25,3256
2024-02-26,1920
2024-02-27,3232
2024-02-28,2693
2024-02-29,2035
2024-03-01,3077
2024-03-02,3371
2024-03-03,2630
2024-03-04,1974
2024-03-05,2055
2024-03-06,3218
2024-03-07,3234
2024-03-08,2998
2024-03-09,2086
2024-03-10,2087
2024-03-11,3313
2024-03-12,1976
2024-03-13,2561
2024-03-14,2089
2024-03-15,3212
2024-03-16,3095
2024-03-17,3312
2024-03-18,2985
2024-03-19,2119
2024-03-20,3147
2024-03-21,3035
2024-03-22,1880
2024-03-23,2548
2024-03-24,2739
2024-03-25,2075
2024-03-26,3242
2024-03-27,3338
2024-03-28,3378
2024-03-29,3599
2024-03-30,3352
2024-03-31,2307
2024-04-01,2585
2024-04-02,2051
2024-04-03,1971
2024-04-04,2001
2024-04-05,3317
2024-04-06,3228
2024-04-07,2115
2024-04-08,2914
2024-04-09,2088
2024-04-10,3305
2024-04-11,2124
2024-04-12,3389
2024-04-13,3338
2024-04-14,3016
2024-04-15,3170
2024-04-16,2333
2024-04-17,2111
2024-04-18,3245
2024-04-19,2811
2024-04-20,3312
2024-04-21,2394
2024-04-22,3464
2024-04-23,4042
2024-04-24,3175
2024-04-25,3581
2024-04-26,3525
2024-04-27,2226
2024-04-28,3276
2024-04-29,3056
2024-04-30,3401
2024-05-01,3259
2024-05-02,2275
2024-05-03,3195
2024-05-04,3417
2024-05-05,2654
2024-05-06,3211
2024-05-07,2187
2024-05-08,3260
2024-05-09,2163
2024-05-10,3060
2024-05-11,3567
2024-05-12,2815
2024-05-13,2907
2024-05-14,2270
2024-05-15,2965
2024-05-16,2593
2024-05-17,3287
2024-05-18,3851
2024-05-19,2288
2024-05-20,3070
2024-05-21,2318
2024-05-22,2884
2024-05-23,2138
2024-05-24,3223
2024-05-25,2874
2024-05-26,2695
2024-05-27,2147
2024-05-28,3207
2024-05-29,2593
2024-05-30,2601
2024-05-31,2148
2024-06-01,3050
2024-06-02,3177
2024-06-03,2568
2024-06-04,2956
2024-06-05,2918
2024-06-06,2739
2024-06-07,3105
2024-06-08,2779
2024-06-09,2650
2024-06-10,1900
2024-06-11,3067
2024-06-12,2091
2024-06-13,3103
2024-06-14,2078
2024-06-15,4089
2024-06-16,2142
2024-06-17,3381
2024-06-18,2149
2024-06-19,3230
2024-06-20,3272
2024-06-21,2806
2024-06-22,2760
2024-06-23,2504
2024-06-24,2209
2024-06-25,2428
2024-06-26,2283
2024-06-27,2421
2024-06-28,3184
2024-06-29,3862
2024-06-30,2093
2024-07-01,3554
2024-07-02,3527
2024-07-03,2950
2024-07-04,2310
2024-07-05,3542
2024-07-06,4511
2024-07-07,3125
2024-07-08,2381
2024-07-09,3190
2024-07-10,2642
2024-07-11,3207
2024-07-12,1814
2024-07-13,1814
2024-07-14,1814
2024-07-15,2019
2024-07-16,2969
2024-07-17,2097
2024-07-18,3177
2024-07-19,2477
2024-07-20,2494
2024-07-21,2304
2024-07-22,3188
2024-07-23,2888
2024-07-24,2083
2024-07-25,2846
2024-07-26,3294
2024-07-27,3129
2024-07-28,2086
2024-07-29,2859
2024-07-30,3919
2024-07-31,2237
2024-08-01,2436
2024-08-02,2660
2024-08-03,3903
2024-08-04,3189
2024-08-05,2139
2024-08-06,3306
2024-08-07,2975
2024-08-08,2794
2024-08-09,1952
2024-08-10,3574
2024-08-11,2361
2024-08-12,3153
2024-08-13,2066
2024-08-14,2948
2024-08-15,2049
2024-08-16,3788
2024-08-17,2837
2024-08-18,2028
2024-08-19,3034
2024-08-20,3527
2024-08-21,2973
2024-08-22,2007
2024-08-23,2186
2024-08-24,3872
2024-08-25,2032
2024-08-26,2106
2024-08-27,2915
2024-08-28,3033
2024-08-29,3890
2024-08-30,3000
2024-08-31,3161
2024-09-01,2126
2024-09-02,1961
2024-09-03,2338
2024-09-04,3319
2024-09-05,3116
2024-09-06,2991
2024-09-07,3507
2024-09-08,2315
2024-09-09,3895
2024-09-10,1965
2024-09-11,3247
2024-09-12,2869
2024-09-13,2158
2024-09-14,3939
2024-09-15,2122
2024-09-16,3615
2024-09-17,2051
2024-09-18,3231
2024-09-19,2104
2024-09-20,2763
2024-09-21,2226
2024-09-22,2842
2024-09-23,2053
2024-09-24,3017
2024-09-25,2041
2024-09-26,2725
