date,start_time,end_time,total_duration_hours
2022-12-04,00:53:30,09:08:30,8.25
2022-12-05,02:00:00,08:50:30,6.83
2022-12-06,23:16:30,08:14:30,8.97
2022-12-07,23:27:00,07:47:30,8.33
2022-12-08,23:04:30,08:08:30,9.07
2022-12-09,22:28:00,07:11:30,8.72
2022-12-10,22:55:00,07:40:00,8.75
2022-12-11,00:13:00,08:05:30,7.87
2022-12-12,00:18:00,08:40:30,8.37
2022-12-13,23:25:00,08:43:30,9.3
2022-12-14,23:26:30,08:20:30,8.9
2022-12-15,21:24:30,08:36:30,11.2
2022-12-16,22:55:30,08:56:30,10.02
2022-12-17,00:31:30,09:42:30,9.18
2022-12-18,08:35:30,12:20:30,9.25
2022-12-19,00:11:00,09:05:30,8.9
2022-12-20,23:16:00,08:54:00,9.63
2022-12-21,22:17:00,07:48:00,9.52
2022-12-22,22:18:00,09:34:30,11.27
2022-12-23,02:41:30,08:18:00,5.6
2022-12-24,00:06:30,08:45:00,8.63
2022-12-25,00:08:30,10:14:30,10.1
2022-12-26,02:44:30,10:21:00,7.6
2022-12-29,22:29:30,08:35:00,10.08
2022-12-30,03:12:00,11:20:00,8.13
2023-01-01,09:51:30,13:12:00,16.66
2023-01-02,01:17:00,09:33:00,8.27
2023-01-03,00:21:30,09:28:30,7.66
2023-01-04,23:55:30,09:22:30,9.45
2023-01-05,23:39:30,08:28:30,8.82
2023-01-06,23:11:00,08:39:00,9.47
2023-01-07,00:09:00,06:30:00,6.35
2023-01-08,00:05:30,08:40:30,8.58
2023-01-10,00:55:30,10:18:30,9.38
2023-01-11,01:09:00,10:05:00,8.93
2023-01-12,23:28:00,07:01:30,7.55
2023-01-13,23:07:00,08:07:00,9.0
2023-01-14,23:00:30,07:29:30,8.48
2023-01-15,22:05:00,08:01:30,9.93
2023-01-16,22:15:00,05:36:30,7.35
2023-01-20,21:06:00,05:44:30,8.63
2023-01-23,22:36:30,09:02:30,10.43
2023-01-24,21:52:30,06:54:00,9.02
2023-01-26,20:36:00,06:53:30,10.28
2023-01-27,21:06:30,04:50:00,7.72
2023-01-29,04:43:00,09:44:30,8.57
2023-01-30,01:05:30,07:45:00,6.65
2023-01-31,20:11:00,06:35:30,20.8
2023-02-04,00:06:30,07:50:00,7.72
2023-02-05,00:35:00,06:46:00,6.18
2023-02-07,00:10:00,08:05:30,7.92
2023-02-08,22:51:30,08:39:30,9.8
2023-02-12,00:32:00,09:36:30,9.07
2023-02-13,02:09:00,08:12:30,6.05
2023-02-15,23:58:00,07:29:00,7.52
2023-02-16,13:26:30,14:48:30,1.37
2023-02-17,21:54:30,08:12:00,10.28
2023-02-20,00:14:30,08:04:00,7.82
2023-02-21,23:00:00,07:41:30,8.68
2023-02-22,23:50:00,08:34:30,8.73
2023-02-23,22:30:00,07:08:30,8.63
2023-02-24,22:55:30,07:23:00,8.45
2023-02-25,21:53:30,07:18:00,9.4
2023-03-09,04:25:30,07:00:00,6.4
2023-03-12,21:05:00,09:11:30,12.1
2023-03-13,23:40:30,07:29:30,7.82
2023-03-20,22:57:00,07:04:30,8.12
2023-03-21,23:04:00,06:56:30,7.87
2023-06-14,23:55:00,08:01:30,8.1
2023-06-15,20:55:00,22:06:30,1.18
2023-06-20,22:05:00,07:25:30,9.33
2023-06-21,01:31:30,09:53:30,8.37
2023-06-22,23:16:00,10:14:00,10.97
2023-06-23,02:27:00,08:59:30,6.53
2023-06-24,23:01:30,09:26:00,10.4
2023-06-25,00:32:30,23:24:00,15.379999999999999
2023-06-29,20:28:30,05:06:30,8.63
2023-06-30,00:12:00,12:40:30,18.380000000000003
2023-07-01,03:40:30,10:02:30,6.37
